Tipo,Rubro,Subregion,Año,Municipio,Área Total,Área Producción,Volumen Producción
Transitorios,Ajo,Valle de Aburra,1999,Medellín,2.20,2.20,13.20
Permanentes,Caña,Valle de Aburra,1999,Medellín,65.00,65.00,338.00
Transitorios,Cebolla Cabezona,Valle de Aburra,1999,Medellín,20.00,18.20,254.80
Permanentes,Cebolla Junca,Valle de Aburra,1999,Medellín,51.30,51.30,846.50
Transitorios,Cilantro,Valle de Aburra,1999,Medellín,40.20,36.20,235.40
Permanentes,Col,Valle de Aburra,1999,Medellín,13.90,12.60,63.00
Transitorios,Espinaca,Valle de Aburra,1999,Medellín,19.00,17.20,309.60
Transitorios,Fríjol Arbustivo,Valle de Aburra,1999,Medellín,64.40,58.60,105.40
Transitorios,Habichuela,Valle de Aburra,1999,Medellín,42.80,39.00,273.00
Transitorios,Lechuga,Valle de Aburra,1999,Medellín,11.60,7.60,152.00
Permanentes,Mora,Valle de Aburra,1999,Medellín,71.40,71.40,499.80
Transitorios,Papa,Valle de Aburra,1999,Medellín,149.00,135.40,2437.20
Transitorios,Pepino,Valle de Aburra,1999,Medellín,10.20,9.20,138.00
Transitorios,Pimentón,Valle de Aburra,1999,Medellín,25.20,22.80,456.00
Permanentes,Plátano En Asocio,Valle de Aburra,1999,Medellín,153.00,153.00,1377.00
Transitorios,Remolacha,Valle de Aburra,1999,Medellín,15.00,13.60,204.00
Transitorios,Repollo,Valle de Aburra,1999,Medellín,3.90,3.60,144.00
Transitorios,Tomate Chonto,Valle de Aburra,1999,Medellín,40.20,36.40,655.20
Permanentes,Tomate De Árbol,Valle de Aburra,1999,Medellín,4.90,4.90,83.30
Transitorios,Zanahoria,Valle de Aburra,1999,Medellín,2.40,2.20,26.40
Transitorios,Ajo,Valle de Aburra,2000,Medellín,2.40,2.00,12.00
Transitorios,Apio,Valle de Aburra,2000,Medellín,28.00,25.20,504.00
Permanentes,Café,Valle de Aburra,2000,Medellín,1082.00,496.00,396.80
Permanentes,Caña,Valle de Aburra,2000,Medellín,65.00,58.50,304.20
Transitorios,Cebolla Cabezona,Valle de Aburra,2000,Medellín,22.00,19.80,277.20
Permanentes,Cebolla Junca,Valle de Aburra,2000,Medellín,69.10,45.60,752.40
Transitorios,Cilantro,Valle de Aburra,2000,Medellín,48.20,43.20,259.20
Permanentes,Col,Valle de Aburra,2000,Medellín,14.30,12.20,61.00
Transitorios,Coliflor,Valle de Aburra,2000,Medellín,8.00,7.20,151.20
Transitorios,Espinaca,Valle de Aburra,2000,Medellín,20.00,18.00,324.00
Transitorios,Fríjol Voluble,Valle de Aburra,2000,Medellín,82.00,73.80,136.00
Transitorios,Habichuela,Valle de Aburra,2000,Medellín,44.00,39.60,277.20
Transitorios,Lechuga,Valle de Aburra,2000,Medellín,13.00,11.60,232.00
Permanentes,Mora,Valle de Aburra,2000,Medellín,128.00,69.40,485.80
Transitorios,Papa,Valle de Aburra,2000,Medellín,150.00,135.00,2430.00
Transitorios,Pepino,Valle de Aburra,2000,Medellín,12.00,10.80,162.00
Transitorios,Pimentón,Valle de Aburra,2000,Medellín,30.10,27.00,405.00
Permanentes,Plátano En Asocio,Valle de Aburra,2000,Medellín,156.00,137.00,959.00
Transitorios,Remolacha,Valle de Aburra,2000,Medellín,16.00,14.40,216.00
Transitorios,Repollo,Valle de Aburra,2000,Medellín,4.30,4.00,160.00
Transitorios,Tomate Chonto,Valle de Aburra,2000,Medellín,42.00,37.80,680.40
Permanentes,Tomate De Árbol,Valle de Aburra,2000,Medellín,13.50,4.40,105.60
Anuales,Yuca,Valle de Aburra,2000,Medellín,22.00,19.00,380.00
Transitorios,Zanahoria,Valle de Aburra,2000,Medellín,6.00,5.40,64.80
Transitorios,Ajo,Valle de Aburra,2001,Medellín,2.60,2.20,15.40
Transitorios,Apio,Valle de Aburra,2001,Medellín,29.00,26.60,532.00
Permanentes,Café,Valle de Aburra,2001,Medellín,1072.00,1072.00,857.60
Permanentes,Caña,Valle de Aburra,2001,Medellín,71.00,55.00,286.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2001,Medellín,23.00,20.60,288.40
Permanentes,Cebolla Junca,Valle de Aburra,2001,Medellín,45.60,45.60,843.60
Transitorios,Cilantro,Valle de Aburra,2001,Medellín,51.50,46.60,279.60
Permanentes,Col,Valle de Aburra,2001,Medellín,14.30,14.30,71.50
Transitorios,Coliflor,Valle de Aburra,2001,Medellín,9.00,8.60,180.60
Transitorios,Espinaca,Valle de Aburra,2001,Medellín,24.00,21.60,401.40
Transitorios,Fríjol Voluble,Valle de Aburra,2001,Medellín,73.50,66.10,125.00
Transitorios,Habichuela,Valle de Aburra,2001,Medellín,45.00,40.40,282.80
Transitorios,Lechuga,Valle de Aburra,2001,Medellín,14.00,12.60,252.00
Permanentes,Mora,Valle de Aburra,2001,Medellín,117.00,115.00,805.00
Transitorios,Papa,Valle de Aburra,2001,Medellín,152.00,136.80,2462.40
Transitorios,Pepino,Valle de Aburra,2001,Medellín,13.00,11.60,174.00
Transitorios,Pimentón,Valle de Aburra,2001,Medellín,35.50,31.90,638.00
Permanentes,Plátano En Asocio,Valle de Aburra,2001,Medellín,158.00,156.00,1092.00
Transitorios,Remolacha,Valle de Aburra,2001,Medellín,16.20,14.50,217.50
Transitorios,Repollo,Valle de Aburra,2001,Medellín,6.50,5.80,232.00
Transitorios,Tomate Chonto,Valle de Aburra,2001,Medellín,43.00,38.60,694.80
Permanentes,Tomate De Árbol,Valle de Aburra,2001,Medellín,15.60,12.10,290.40
Anuales,Yuca,Valle de Aburra,2001,Medellín,22.00,19.80,396.00
Transitorios,Zanahoria,Valle de Aburra,2001,Medellín,8.20,7.30,87.60
Transitorios,Ajo,Valle de Aburra,2002,Medellín,2.80,2.40,15.70
Transitorios,Apio,Valle de Aburra,2002,Medellín,29.00,27.00,540.00
Permanentes,Café,Valle de Aburra,2002,Medellín,1062.00,1062.00,849.60
Permanentes,Caña,Valle de Aburra,2002,Medellín,73.00,68.00,408.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2002,Medellín,23.50,21.10,295.40
Permanentes,Cebolla Junca,Valle de Aburra,2002,Medellín,50.60,45.60,684.00
Transitorios,Cilantro,Valle de Aburra,2002,Medellín,50.50,45.90,275.40
Permanentes,Col,Valle de Aburra,2002,Medellín,14.30,14.30,71.50
Transitorios,Coliflor,Valle de Aburra,2002,Medellín,9.20,8.20,172.20
Transitorios,Espinaca,Valle de Aburra,2002,Medellín,21.50,19.30,347.40
Transitorios,Fríjol Voluble,Valle de Aburra,2002,Medellín,68.50,62.10,124.20
Transitorios,Habichuela,Valle de Aburra,2002,Medellín,46.00,41.40,289.80
Transitorios,Lechuga,Valle de Aburra,2002,Medellín,14.80,13.20,264.00
Permanentes,Mora,Valle de Aburra,2002,Medellín,120.00,115.00,805.00
Transitorios,Papa,Valle de Aburra,2002,Medellín,153.00,137.70,2478.60
Transitorios,Pepino,Valle de Aburra,2002,Medellín,14.50,13.00,195.00
Transitorios,Pimentón,Valle de Aburra,2002,Medellín,32.00,28.80,576.00
Permanentes,Plátano En Asocio,Valle de Aburra,2002,Medellín,160.00,158.00,1106.00
Transitorios,Remolacha,Valle de Aburra,2002,Medellín,16.50,14.70,220.50
Transitorios,Repollo,Valle de Aburra,2002,Medellín,5.20,4.60,184.00
Transitorios,Tomate Chonto,Valle de Aburra,2002,Medellín,43.50,39.10,703.80
Permanentes,Tomate De Árbol,Valle de Aburra,2002,Medellín,16.60,15.60,312.00
Anuales,Yuca,Valle de Aburra,2002,Medellín,19.80,19.80,396.00
Transitorios,Zanahoria,Valle de Aburra,2002,Medellín,7.00,6.20,74.40
Transitorios,Ajo,Valle de Aburra,2003,Medellín,3.10,2.70,18.90
Transitorios,Apio,Valle de Aburra,2003,Medellín,30.50,27.90,414.00
Permanentes,Café,Valle de Aburra,2003,Medellín,1047.00,1047.00,837.60
Permanentes,Caña,Valle de Aburra,2003,Medellín,80.00,78.00,624.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2003,Medellín,24.00,21.60,302.40
Permanentes,Cebolla Junca,Valle de Aburra,2003,Medellín,58.00,55.00,825.00
Transitorios,Chócolo,Valle de Aburra,2003,Medellín,23.00,20.70,372.60
Transitorios,Cilantro,Valle de Aburra,2003,Medellín,52.20,46.80,280.80
Permanentes,Col,Valle de Aburra,2003,Medellín,14.30,14.30,71.50
Transitorios,Coliflor,Valle de Aburra,2003,Medellín,9.60,8.60,180.60
Transitorios,Fríjol Voluble,Valle de Aburra,2003,Medellín,69.50,63.00,126.00
Transitorios,Habichuela,Valle de Aburra,2003,Medellín,46.50,41.80,292.60
Transitorios,Lechuga,Valle de Aburra,2003,Medellín,15.00,13.40,268.00
Permanentes,Mora,Valle de Aburra,2003,Medellín,129.00,125.00,875.00
Transitorios,Papa,Valle de Aburra,2003,Medellín,154.50,139.00,2502.00
Transitorios,Pepino,Valle de Aburra,2003,Medellín,15.00,13.40,201.00
Transitorios,Pimentón,Valle de Aburra,2003,Medellín,32.10,28.80,345.60
Permanentes,Plátano En Asocio,Valle de Aburra,2003,Medellín,164.00,160.00,1120.00
Transitorios,Remolacha,Valle de Aburra,2003,Medellín,16.80,15.00,225.00
Transitorios,Repollo,Valle de Aburra,2003,Medellín,5.20,4.60,184.00
Transitorios,Tomate Chonto,Valle de Aburra,2003,Medellín,44.50,40.00,720.00
Permanentes,Tomate De Árbol,Valle de Aburra,2003,Medellín,22.60,16.60,332.00
Anuales,Yuca,Valle de Aburra,2003,Medellín,22.00,19.80,396.00
Transitorios,Zanahoria,Valle de Aburra,2003,Medellín,7.20,6.40,76.80
Permanentes,Aguacate,Valle de Aburra,2004,Medellín,7.00,0.00,0.00
Transitorios,Ajo,Valle de Aburra,2004,Medellín,4.00,4.00,28.00
Transitorios,Apio,Valle de Aburra,2004,Medellín,32.00,28.40,568.00
Permanentes,Café,Valle de Aburra,2004,Medellín,1027.00,1027.00,821.60
Permanentes,Caña,Valle de Aburra,2004,Medellín,82.00,81.00,486.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2004,Medellín,24.00,22.00,308.00
Permanentes,Cebolla Junca,Valle de Aburra,2004,Medellín,65.00,60.00,780.00
Transitorios,Cilantro,Valle de Aburra,2004,Medellín,56.00,50.00,300.00
Permanentes,Cítricos,Valle de Aburra,2004,Medellín,9.00,0.00,0.00
Permanentes,Col,Valle de Aburra,2004,Medellín,16.00,16.00,80.00
Transitorios,Coliflor,Valle de Aburra,2004,Medellín,11.00,9.00,189.00
Transitorios,Espinaca,Valle de Aburra,2004,Medellín,26.00,24.00,432.00
Permanentes,Fresa,Valle de Aburra,2004,Medellín,5.00,5.00,25.00
Transitorios,Fríjol Arbustivo,Valle de Aburra,2004,Medellín,35.00,33.00,49.50
Transitorios,Fríjol Voluble,Valle de Aburra,2004,Medellín,73.00,68.00,136.00
Transitorios,Habichuela,Valle de Aburra,2004,Medellín,47.00,44.00,308.00
Transitorios,Lechuga,Valle de Aburra,2004,Medellín,16.00,14.00,280.00
Permanentes,Mora,Valle de Aburra,2004,Medellín,131.00,127.00,889.00
Transitorios,Papa,Valle de Aburra,2004,Medellín,156.00,150.00,2700.00
Transitorios,Pepino,Valle de Aburra,2004,Medellín,16.00,14.00,210.00
Transitorios,Pimentón,Valle de Aburra,2004,Medellín,33.00,31.00,500.00
Permanentes,Plátano En Asocio,Valle de Aburra,2004,Medellín,167.00,165.00,1650.00
Transitorios,Remolacha,Valle de Aburra,2004,Medellín,18.00,16.00,240.00
Transitorios,Repollo,Valle de Aburra,2004,Medellín,10.00,8.00,320.00
Transitorios,Tomate Chonto,Valle de Aburra,2004,Medellín,46.00,42.00,756.00
Permanentes,Tomate De Árbol,Valle de Aburra,2004,Medellín,30.00,25.00,250.00
Anuales,Yuca,Valle de Aburra,2004,Medellín,23.00,21.00,420.00
Transitorios,Zanahoria,Valle de Aburra,2004,Medellín,8.00,6.00,72.00
Permanentes,Aguacate,Valle de Aburra,2005,Medellín,10.00,0.00,0.00
Transitorios,Ajo,Valle de Aburra,2005,Medellín,5.00,5.00,35.00
Transitorios,Apio,Valle de Aburra,2005,Medellín,32.00,32.00,640.00
Permanentes,Brevo,Valle de Aburra,2005,Medellín,5.00,2.00,18.00
Permanentes,Café,Valle de Aburra,2005,Medellín,1078.00,1027.00,1232.40
Permanentes,Caña,Valle de Aburra,2005,Medellín,82.00,80.00,480.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2005,Medellín,24.00,24.00,336.00
Permanentes,Cebolla Junca,Valle de Aburra,2005,Medellín,65.00,65.00,845.00
Transitorios,Cilantro,Valle de Aburra,2005,Medellín,56.00,56.00,336.00
Permanentes,Cítricos,Valle de Aburra,2005,Medellín,20.00,0.00,0.00
Permanentes,Col,Valle de Aburra,2005,Medellín,16.00,16.00,80.00
Transitorios,Coliflor,Valle de Aburra,2005,Medellín,10.00,10.00,210.00
Transitorios,Espinaca,Valle de Aburra,2005,Medellín,28.00,28.00,504.00
Permanentes,Fresa,Valle de Aburra,2005,Medellín,12.00,12.00,84.00
Transitorios,Fríjol Arbustivo,Valle de Aburra,2005,Medellín,74.00,74.00,148.00
Transitorios,Fríjol Voluble,Valle de Aburra,2005,Medellín,36.00,36.00,54.00
Permanentes,Guayaba Manzána,Valle de Aburra,2005,Medellín,2.00,0.00,0.00
Transitorios,Habichuela,Valle de Aburra,2005,Medellín,48.00,48.00,336.00
Transitorios,Lechuga,Valle de Aburra,2005,Medellín,16.00,16.00,320.00
Permanentes,Mango,Valle de Aburra,2005,Medellín,1.00,0.00,0.00
Permanentes,Mora,Valle de Aburra,2005,Medellín,133.00,131.00,917.00
Transitorios,Papa,Valle de Aburra,2005,Medellín,114.00,114.00,2052.00
Transitorios,Pepino,Valle de Aburra,2005,Medellín,16.00,16.00,240.00
Transitorios,Pimentón,Valle de Aburra,2005,Medellín,34.00,34.00,408.00
Permanentes,Plátano En Asocio,Valle de Aburra,2005,Medellín,170.00,167.00,1670.00
Transitorios,Remolacha,Valle de Aburra,2005,Medellín,18.00,18.00,270.00
Transitorios,Repollo,Valle de Aburra,2005,Medellín,10.00,10.00,400.00
Transitorios,Tomate Chonto,Valle de Aburra,2005,Medellín,46.00,46.00,828.00
Permanentes,Tomate De Árbol,Valle de Aburra,2005,Medellín,34.00,30.00,300.00
Anuales,Yuca,Valle de Aburra,2005,Medellín,23.00,23.00,460.00
Transitorios,Zanahoria,Valle de Aburra,2005,Medellín,12.00,12.00,144.00
Permanentes,Aguacate,Valle de Aburra,2006,Medellín,10.00,0.00,0.00
Transitorios,Ajo,Valle de Aburra,2006,Medellín,6.00,6.00,42.00
Transitorios,Apio,Valle de Aburra,2006,Medellín,32.00,32.00,640.00
Permanentes,Brevo,Valle de Aburra,2006,Medellín,5.00,2.00,18.00
Permanentes,Café,Valle de Aburra,2006,Medellín,825.60,786.54,943.85
Permanentes,Caña,Valle de Aburra,2006,Medellín,84.00,80.00,480.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2006,Medellín,24.00,24.00,336.00
Permanentes,Cebolla Junca,Valle de Aburra,2006,Medellín,65.00,65.00,845.00
Transitorios,Cilantro,Valle de Aburra,2006,Medellín,56.00,56.00,336.00
Permanentes,Cítricos,Valle de Aburra,2006,Medellín,11.00,0.00,0.00
Transitorios,Coliflor,Valle de Aburra,2006,Medellín,10.00,10.00,210.00
Transitorios,Espinaca,Valle de Aburra,2006,Medellín,28.00,28.00,504.00
Permanentes,Fresa,Valle de Aburra,2006,Medellín,12.00,12.00,84.00
Transitorios,Fríjol Voluble,Valle de Aburra,2006,Medellín,113.00,113.00,208.00
Permanentes,Guayaba Manzána,Valle de Aburra,2006,Medellín,2.00,0.00,0.00
Transitorios,Habichuela,Valle de Aburra,2006,Medellín,48.00,48.00,336.00
Transitorios,Lechuga,Valle de Aburra,2006,Medellín,16.00,16.00,320.00
Permanentes,Mango,Valle de Aburra,2006,Medellín,1.00,0.00,0.00
Permanentes,Mora,Valle de Aburra,2006,Medellín,133.00,131.00,917.00
Transitorios,Papa,Valle de Aburra,2006,Medellín,114.00,114.00,2052.00
Transitorios,Pepino,Valle de Aburra,2006,Medellín,16.00,16.00,240.00
Transitorios,Pimentón,Valle de Aburra,2006,Medellín,34.00,34.00,408.00
Permanentes,Plátano En Asocio,Valle de Aburra,2006,Medellín,169.00,167.00,1670.00
Transitorios,Remolacha,Valle de Aburra,2006,Medellín,18.00,18.00,270.00
Transitorios,Repollo,Valle de Aburra,2006,Medellín,10.00,10.00,400.00
Transitorios,Tomate Chonto,Valle de Aburra,2006,Medellín,46.00,46.00,828.00
Permanentes,Tomate De Árbol,Valle de Aburra,2006,Medellín,37.00,30.00,300.00
Anuales,Yuca,Valle de Aburra,2006,Medellín,23.00,23.00,460.00
Transitorios,Zanahoria,Valle de Aburra,2006,Medellín,12.00,12.00,144.00
Permanentes,Aguacate,Valle de Aburra,2007,Medellín,10.00,0.00,0.00
Transitorios,Ajo,Valle de Aburra,2007,Medellín,5.00,5.00,35.00
Transitorios,Apio,Valle de Aburra,2007,Medellín,32.00,32.00,640.00
Permanentes,Brevo,Valle de Aburra,2007,Medellín,5.00,5.00,45.00
Permanentes,Café,Valle de Aburra,2007,Medellín,1078.00,1027.00,821.60
Permanentes,Caña,Valle de Aburra,2007,Medellín,84.00,84.00,504.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2007,Medellín,24.00,24.00,336.00
Permanentes,Cebolla Junca,Valle de Aburra,2007,Medellín,65.00,65.00,845.00
Transitorios,Cilantro,Valle de Aburra,2007,Medellín,56.00,56.00,336.00
Permanentes,Col,Valle de Aburra,2007,Medellín,16.00,16.00,80.00
Transitorios,Coliflor,Valle de Aburra,2007,Medellín,10.00,10.00,210.00
Transitorios,Espinaca,Valle de Aburra,2007,Medellín,28.00,28.00,504.00
Permanentes,Fresa,Valle de Aburra,2007,Medellín,12.00,12.00,84.00
Transitorios,Fríjol Arbustivo,Valle de Aburra,2007,Medellín,36.00,36.00,54.00
Transitorios,Fríjol Voluble,Valle de Aburra,2007,Medellín,74.00,74.00,148.00
Permanentes,Guayaba Manzána,Valle de Aburra,2007,Medellín,2.00,0.00,0.00
Transitorios,Habichuela,Valle de Aburra,2007,Medellín,20.00,20.00,140.00
Transitorios,Lechuga,Valle de Aburra,2007,Medellín,16.00,16.00,320.00
Permanentes,Mandarina Oneco,Valle de Aburra,2007,Medellín,11.00,11.00,165.00
Permanentes,Mango,Valle de Aburra,2007,Medellín,8.00,8.00,80.00
Permanentes,Mora,Valle de Aburra,2007,Medellín,133.00,131.00,917.00
Transitorios,Papa,Valle de Aburra,2007,Medellín,97.00,97.00,1746.00
Transitorios,Pepino,Valle de Aburra,2007,Medellín,16.00,16.00,240.00
Transitorios,Pimentón,Valle de Aburra,2007,Medellín,34.00,34.00,408.00
Permanentes,Plátano En Asocio,Valle de Aburra,2007,Medellín,171.00,169.00,1690.00
Transitorios,Remolacha,Valle de Aburra,2007,Medellín,18.00,18.00,270.00
Transitorios,Repollo,Valle de Aburra,2007,Medellín,10.00,10.00,400.00
Transitorios,Tomate Chonto,Valle de Aburra,2007,Medellín,46.00,46.00,828.00
Permanentes,Tomate De Árbol,Valle de Aburra,2007,Medellín,44.00,39.00,390.00
Anuales,Yuca,Valle de Aburra,2007,Medellín,23.00,23.00,460.00
Transitorios,Zanahoria,Valle de Aburra,2007,Medellín,12.00,12.00,144.00
Permanentes,Aguacate,Valle de Aburra,2008,Medellín,10.00,0.00,0.00
Transitorios,Ajo,Valle de Aburra,2008,Medellín,7.00,7.00,49.00
Transitorios,Apio,Valle de Aburra,2008,Medellín,32.00,32.00,640.00
Permanentes,Brevo,Valle de Aburra,2008,Medellín,5.00,5.00,45.00
Permanentes,Café,Valle de Aburra,2008,Medellín,1078.00,1027.00,821.60
Permanentes,Caña,Valle de Aburra,2008,Medellín,84.00,84.00,504.00
Transitorios,Cebolla Cabezona,Valle de Aburra,2008,Medellín,24.00,24.00,336.00
Permanentes,Cebolla Junca,Valle de Aburra,2008,Medellín,67.00,65.00,845.00
Transitorios,Cilantro,Valle de Aburra,2008,Medellín,58.00,58.00,348.00
Permanentes,Col,Valle de Aburra,2008,Medellín,16.00,16.00,80.00
